symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-07-21 00:00:00+00:00,388,397,386.97,396.69,25627347,95.24245465,97.45168685,94.9896203,97.37559107,102509388,0,1
AAPL,2020-07-22 00:00:00+00:00,389.09,391.9,386.41,386.77,22250413,95.51001722,96.1997886,94.85215696,94.94052625,89001652,0,1
AAPL,2020-07-23 00:00:00+00:00,371.38,388.31,368.039,387.9935,49251108,91.1627392,95.31855043,90.34262311,95.24085909,197004432,0,1
AAPL,2020-07-24 00:00:00+00:00,370.46,371.88,356.58,363.95,46359716,90.93690657,91.28547432,87.52977959,89.33889528,185438864,0,1
AAPL,2020-07-27 00:00:00+00:00,379.24,379.62,373.92,374.84,30303548,93.09213531,93.18541401,91.78623362,92.01206624,121214192,0,1
AAPL,2020-07-28 00:00:00+00:00,373.01,378.1986,372.99,377.47,25906375,91.56285569,92.8365026,91.55794629,92.65765298,103625500,0,1
AAPL,2020-07-29 00:00:00+00:00,380.16,380.92,374.85,375,22582314,93.31796794,93.50452532,92.01452094,92.05134148,90329256,0,1
AAPL,2020-07-30 00:00:00+00:00,384.76,385.19,375.07,376.75,39532505,94.44713106,94.55268326,92.0685244,92.48091441,158130020,0,1
AAPL,2020-07-31 00:00:00+00:00,425.04,425.66,403.3,411.535,93573867,104.3346725,104.486864,98.99814938,101.0195968,374295468,0,1
AAPL,2020-08-03 00:00:00+00:00,435.75,446.5457,431.57,432.8,77037847,106.9636588,109.6136819,105.9375932,106.2395216,308151388,0,1
AAPL,2020-08-04 00:00:00+00:00,438.66,443.16,433.55,436.53,43198092,107.6779772,108.7825933,106.4236243,107.1551256,172792368,0,1
AAPL,2020-08-05 00:00:00+00:00,440.25,441.57,435.59,437.51,30497988,108.0682749,108.3922956,106.9243836,107.3956864,121991952,0,1
AAPL,2020-08-06 00:00:00+00:00,455.61,457.65,439.19,441.62,50607225,111.8386978,112.3394571,107.8080764,108.4045691,202428900,0,1
AAPL,2020-08-07 00:00:00+00:00,444.45,454.7,441.17,452.82,49511403,109.3005355,111.8212476,108.4939077,111.3589121,198045612,0.82,1
AAPL,2020-08-10 00:00:00+00:00,450.91,455.1,440,450.4,53100856,110.8891989,111.9196169,108.2061776,110.7637781,212403424,0,1
AAPL,2020-08-11 00:00:00+00:00,437.5,449.93,436.4267,447.875,46975594,107.5913698,110.6481943,107.3274205,110.1428222,187902376,0,1
AAPL,2020-08-12 00:00:00+00:00,452.04,453.1,441.19,441.99,41486205,111.1670921,111.4277706,108.4988261,108.6955646,165944820,0,1
